Loading checkpoint shards: 100%|███████████████████████████████████████████████████████| 4/4 [00:00<00:00, 10.50it/s]
{'trainable_params': 41882625, 'total_params': 7657499137, 'trainable_ratio': 0.0054694913118081626}
itds:   8%|██▋                                 | 160/2131 [10:28:20<121:24:17, 221.74s/it, loss=0.3494, reward=0.375]
{'step': 125, 'loss': 0.5021771192550659, 'reward_mean': 0.875, 'log_pi_mean': -41.63599395751953, 'log_ref_mean': -41.6657600402832, 'kl_mean': 0.029767990112304688, 'valid_tokens_mean': 302.5, 'advantage_mean': 0.34353506565093994, 'advantage_std': 0.8745630979537964, 'num_tokens': 2420.0, 'policy_loss': 0.060738611966371536, 'value_loss': 0.882876992225647, 'token_reward_mean': 0.0028433571569621563, 'return_mean': 0.8720957636833191, 'grad_norm': 51.38993835449219, 'learning_rate': 5e-06}
{'step': 130, 'loss': 0.38852185010910034, 'reward_mean': 0.875, 'log_pi_mean': -55.294700622558594, 'log_ref_mean': -55.19429016113281, 'kl_mean': -0.10040426254272461, 'valid_tokens_mean': 384.375, 'advantage_mean': 0.30280590057373047, 'advantage_std': 0.7755935192108154, 'num_tokens': 3075.0, 'policy_loss': 0.04190342500805855, 'value_loss': 0.6932368278503418, 'token_reward_mean': 0.002407028805464506, 'return_mean': 0.9536498188972473, 'grad_norm': 37.466148376464844, 'learning_rate': 5e-06}
{'step': 135, 'loss': 0.33602020144462585, 'reward_mean': 0.0, 'log_pi_mean': -97.01885986328125, 'log_ref_mean': -96.86441040039062, 'kl_mean': -0.1544499397277832, 'valid_tokens_mean': 819.0, 'advantage_mean': -0.35829058289527893, 'advantage_std': 0.7892854809761047, 'num_tokens': 6552.0, 'policy_loss': -0.039651621133089066, 'value_loss': 0.7513436675071716, 'token_reward_mean': 9.429187775822356e-05, 'return_mean': 0.008513269014656544, 'grad_norm': 8.831136703491211, 'learning_rate': 5e-06}
{'step': 140, 'loss': 0.28694605827331543, 'reward_mean': 1.0, 'log_pi_mean': -33.917640686035156, 'log_ref_mean': -33.83391189575195, 'kl_mean': -0.08372735977172852, 'valid_tokens_mean': 690.5, 'advantage_mean': 0.2510841488838196, 'advantage_std': 0.6938175559043884, 'num_tokens': 5524.0, 'policy_loss': 0.014733037911355495, 'value_loss': 0.5444260239601135, 'token_reward_mean': 0.0015088539803400636, 'return_mean': 1.0028210878372192, 'grad_norm': 14.830328941345215, 'learning_rate': 5e-06}
{'step': 145, 'loss': 0.37486541271209717, 'reward_mean': 0.0, 'log_pi_mean': -92.99525451660156, 'log_ref_mean': -92.87712097167969, 'kl_mean': -0.11814498901367188, 'valid_tokens_mean': 788.75, 'advantage_mean': -0.4329972565174103, 'advantage_std': 0.8166503310203552, 'num_tokens': 6310.0, 'policy_loss': -0.05233678221702576, 'value_loss': 0.8544043898582458, 'token_reward_mean': 7.48966631363146e-05, 'return_mean': 0.0069379648193717, 'grad_norm': 34.55172348022461, 'learning_rate': 5e-06}
{'step': 150, 'loss': 0.34848740696907043, 'reward_mean': 0.75, 'log_pi_mean': -42.32932662963867, 'log_ref_mean': -42.23263168334961, 'kl_mean': -0.09669232368469238, 'valid_tokens_mean': 408.0, 'advantage_mean': 0.10463058948516846, 'advantage_std': 0.8253908157348633, 'num_tokens': 3264.0, 'policy_loss': 0.002378670498728752, 'value_loss': 0.6922174692153931, 'token_reward_mean': 0.001956729916855693, 'return_mean': 0.7667547464370728, 'grad_norm': 44.48482131958008, 'learning_rate': 5e-06}
{'step': 155, 'loss': 0.3836591839790344, 'reward_mean': 1.0, 'log_pi_mean': -61.87297439575195, 'log_ref_mean': -61.76700973510742, 'kl_mean': -0.10596561431884766, 'valid_tokens_mean': 600.375, 'advantage_mean': 0.3890993595123291, 'advantage_std': 0.7257121801376343, 'num_tokens': 4803.0, 'policy_loss': 0.0446309819817543, 'value_loss': 0.6780564188957214, 'token_reward_mean': 0.0017538758693262935, 'return_mean': 1.0271258354187012, 'grad_norm': 8.58723258972168, 'learning_rate': 5e-06}
{'step': 160, 'loss': 0.4120984971523285, 'reward_mean': 0.0, 'log_pi_mean': -107.22706604003906, 'log_ref_mean': -107.17359924316406, 'kl_mean': -0.05346393585205078, 'valid_tokens_mean': 1361.875, 'advantage_mean': -0.39149871468544006, 'advantage_std': 0.867630124092102, 'num_tokens': 10895.0, 'policy_loss': -0.040928103029727936, 'value_loss': 0.9060531854629517, 'token_reward_mean': 1.9629653252195567e-05, 'return_mean': 0.012600227259099483, 'grad_norm': 11.940004348754883, 'learning_rate': 5e-06}
{'step': 165, 'loss': 0.251865953207016, 'reward_mean': 0.375, 'log_pi_mean': -59.20812225341797, 'log_ref_mean': -59.10186767578125, 'kl_mean': -0.10625958442687988, 'valid_tokens_mean': 1116.875, 'advantage_mean': 0.03412959724664688, 'advantage_std': 0.7163966298103333, 'num_tokens': 8935.0, 'policy_loss': -0.005328523926436901, 'value_loss': 0.5143889784812927, 'token_reward_mean': 0.00038332786061801016, 'return_mean': 0.3418709635734558, 'grad_norm': 16.988088607788086, 'learning_rate': 5e-06}
{'step': 170, 'loss': 0.2546670734882355, 'reward_mean': 0.25, 'log_pi_mean': -41.42219543457031, 'log_ref_mean': -41.38964080810547, 'kl_mean': -0.032559871673583984, 'valid_tokens_mean': 348.0, 'advantage_mean': -0.2718900144100189, 'advantage_std': 0.7471030354499817, 'num_tokens': 2784.0, 'policy_loss': -0.06137651577591896, 'value_loss': 0.6320871710777283, 'token_reward_mean': 0.0007651722989976406, 'return_mean': 0.31541091203689575, 'grad_norm': 16.45524024963379, 'learning_rate': 5e-06}
{'step': 175, 'loss': 0.3868844509124756, 'reward_mean': 0.5, 'log_pi_mean': -55.786033630371094, 'log_ref_mean': -55.62541961669922, 'kl_mean': -0.16060924530029297, 'valid_tokens_mean': 672.625, 'advantage_mean': -0.06828997284173965, 'advantage_std': 0.9033610820770264, 'num_tokens': 5381.0, 'policy_loss': -0.023477956652641296, 'value_loss': 0.8207248449325562, 'token_reward_mean': 0.0008627469069324434, 'return_mean': 0.5649615526199341, 'grad_norm': 10.496810913085938, 'learning_rate': 5e-06}
{'step': 180, 'loss': 0.3849744200706482, 'reward_mean': 0.75, 'log_pi_mean': -70.08512878417969, 'log_ref_mean': -69.9497299194336, 'kl_mean': -0.13539934158325195, 'valid_tokens_mean': 453.0, 'advantage_mean': -0.01548351626843214, 'advantage_std': 0.8635951280593872, 'num_tokens': 3624.0, 'policy_loss': 0.01195625588297844, 'value_loss': 0.7460363507270813, 'token_reward_mean': 0.0018050780054181814, 'return_mean': 0.6639696955680847, 'grad_norm': 15.809255599975586, 'learning_rate': 5e-06}
{'step': 185, 'loss': 0.2234352082014084, 'reward_mean': 0.625, 'log_pi_mean': -41.41074752807617, 'log_ref_mean': -41.325286865234375, 'kl_mean': -0.08546161651611328, 'valid_tokens_mean': 296.875, 'advantage_mean': -0.06664951890707016, 'advantage_std': 0.70635986328125, 'num_tokens': 2375.0, 'policy_loss': -0.028258005157113075, 'value_loss': 0.5033864378929138, 'token_reward_mean': 0.0022491971030831337, 'return_mean': 0.6800176501274109, 'grad_norm': 41.73378372192383, 'learning_rate': 5e-06}
{'step': 190, 'loss': 0.3608945906162262, 'reward_mean': 0.75, 'log_pi_mean': -18.8875789642334, 'log_ref_mean': -18.8612003326416, 'kl_mean': -0.026378273963928223, 'valid_tokens_mean': 333.5, 'advantage_mean': 0.23898881673812866, 'advantage_std': 0.8060701489448547, 'num_tokens': 2668.0, 'policy_loss': 0.007462268695235252, 'value_loss': 0.7068646550178528, 'token_reward_mean': 0.0022884230129420757, 'return_mean': 0.7611246705055237, 'grad_norm': 27.951635360717773, 'learning_rate': 5e-06}
{'step': 195, 'loss': 0.23866671323776245, 'reward_mean': 0.0, 'log_pi_mean': -87.03987121582031, 'log_ref_mean': -86.88166809082031, 'kl_mean': -0.1582040786743164, 'valid_tokens_mean': 568.375, 'advantage_mean': -0.39184704422950745, 'advantage_std': 0.6806702017784119, 'num_tokens': 4547.0, 'policy_loss': -0.06976130604743958, 'value_loss': 0.616856038570404, 'token_reward_mean': 0.00013917133037466556, 'return_mean': 0.02160070650279522, 'grad_norm': 8.256422996520996, 'learning_rate': 5e-06}
{'step': 200, 'loss': 0.2855234742164612, 'reward_mean': 0.75, 'log_pi_mean': -58.59964370727539, 'log_ref_mean': -58.353355407714844, 'kl_mean': -0.24628925323486328, 'valid_tokens_mean': 507.5, 'advantage_mean': -0.12688195705413818, 'advantage_std': 0.7825710773468018, 'num_tokens': 4060.0, 'policy_loss': -0.02873477153480053, 'value_loss': 0.6285164952278137, 'token_reward_mean': 0.0017204825999215245, 'return_mean': 0.7359271049499512, 'grad_norm': 46.27422332763672, 'learning_rate': 5e-06}
{'step': 205, 'loss': 0.2854912281036377, 'reward_mean': 0.125, 'log_pi_mean': -78.58358764648438, 'log_ref_mean': -78.54678344726562, 'kl_mean': -0.03680276870727539, 'valid_tokens_mean': 958.5, 'advantage_mean': -0.2857390344142914, 'advantage_std': 0.7390303015708923, 'num_tokens': 7668.0, 'policy_loss': -0.028415076434612274, 'value_loss': 0.6278126239776611, 'token_reward_mean': 0.00014961107808630913, 'return_mean': 0.19909539818763733, 'grad_norm': 5.741918563842773, 'learning_rate': 5e-06}
{'step': 210, 'loss': 0.2295127511024475, 'reward_mean': 0.875, 'log_pi_mean': -39.229854583740234, 'log_ref_mean': -39.14556884765625, 'kl_mean': -0.08428764343261719, 'valid_tokens_mean': 454.5, 'advantage_mean': 0.17145667970180511, 'advantage_std': 0.6438609957695007, 'num_tokens': 3636.0, 'policy_loss': 0.0075355577282607555, 'value_loss': 0.44395437836647034, 'token_reward_mean': 0.0020179185084998608, 'return_mean': 0.7430365681648254, 'grad_norm': 19.108816146850586, 'learning_rate': 5e-06}
{'step': 215, 'loss': 0.294293075799942, 'reward_mean': 0.75, 'log_pi_mean': -43.74168014526367, 'log_ref_mean': -43.733375549316406, 'kl_mean': -0.008306026458740234, 'valid_tokens_mean': 328.25, 'advantage_mean': -0.030718166381120682, 'advantage_std': 0.7811917066574097, 'num_tokens': 2626.0, 'policy_loss': -0.011309003457427025, 'value_loss': 0.6112041473388672, 'token_reward_mean': 0.0022974959574639797, 'return_mean': 0.7068665027618408, 'grad_norm': 25.56658935546875, 'learning_rate': 5e-06}
{'step': 220, 'loss': 0.30968934297561646, 'reward_mean': 0.125, 'log_pi_mean': -81.22792053222656, 'log_ref_mean': -81.10234069824219, 'kl_mean': -0.12557697296142578, 'valid_tokens_mean': 653.25, 'advantage_mean': -0.47459954023361206, 'advantage_std': 0.7145727276802063, 'num_tokens': 5226.0, 'policy_loss': -0.0582401342689991, 'value_loss': 0.7358589768409729, 'token_reward_mean': 0.00028746796306222677, 'return_mean': 0.13738036155700684, 'grad_norm': 34.80508804321289, 'learning_rate': 5e-06}
{'step': 225, 'loss': 0.31254842877388, 'reward_mean': 1.0, 'log_pi_mean': -38.69113540649414, 'log_ref_mean': -38.62425994873047, 'kl_mean': -0.06687378883361816, 'valid_tokens_mean': 286.0, 'advantage_mean': 0.26067572832107544, 'advantage_std': 0.6909067034721375, 'num_tokens': 2288.0, 'policy_loss': 0.03989642858505249, 'value_loss': 0.545304000377655, 'token_reward_mean': 0.0036134161055088043, 'return_mean': 1.0053008794784546, 'grad_norm': 11.319842338562012, 'learning_rate': 5e-06}
{'step': 230, 'loss': 0.3978070616722107, 'reward_mean': 0.875, 'log_pi_mean': -67.06951141357422, 'log_ref_mean': -66.98687744140625, 'kl_mean': -0.08262920379638672, 'valid_tokens_mean': 380.25, 'advantage_mean': 0.3293621242046356, 'advantage_std': 0.7422593235969543, 'num_tokens': 3042.0, 'policy_loss': 0.06809286773204803, 'value_loss': 0.6594284176826477, 'token_reward_mean': 0.0024097685236483812, 'return_mean': 0.8600704073905945, 'grad_norm': 25.84451675415039, 'learning_rate': 5e-06}
{'step': 235, 'loss': 0.3874565064907074, 'reward_mean': 0.875, 'log_pi_mean': -75.16421508789062, 'log_ref_mean': -75.0596923828125, 'kl_mean': -0.10452127456665039, 'valid_tokens_mean': 652.875, 'advantage_mean': 0.4474397301673889, 'advantage_std': 0.6969080567359924, 'num_tokens': 5223.0, 'policy_loss': 0.04451492801308632, 'value_loss': 0.6858831644058228, 'token_reward_mean': 0.0014202735619619489, 'return_mean': 0.8837576508522034, 'grad_norm': 23.512025833129883, 'learning_rate': 5e-06}
{'step': 240, 'loss': 0.19734908640384674, 'reward_mean': 1.0, 'log_pi_mean': -39.11494445800781, 'log_ref_mean': -39.129722595214844, 'kl_mean': 0.014780044555664062, 'valid_tokens_mean': 226.25, 'advantage_mean': -0.054076533764600754, 'advantage_std': 0.667387068271637, 'num_tokens': 1810.0, 'policy_loss': -0.026815783232450485, 'value_loss': 0.44832974672317505, 'token_reward_mean': 0.004387227352708578, 'return_mean': 1.0037034749984741, 'grad_norm': 12.229313850402832, 'learning_rate': 5e-06}
{'step': 245, 'loss': 0.3235233724117279, 'reward_mean': 0.125, 'log_pi_mean': -89.07026672363281, 'log_ref_mean': -88.86871337890625, 'kl_mean': -0.20156145095825195, 'valid_tokens_mean': 544.875, 'advantage_mean': -0.1076149195432663, 'advantage_std': 0.8227658271789551, 'num_tokens': 4359.0, 'policy_loss': -0.020738931372761726, 'value_loss': 0.688524603843689, 'token_reward_mean': 0.00041437006439082325, 'return_mean': 0.1883983612060547, 'grad_norm': 11.267001152038574, 'learning_rate': 5e-06}
{'step': 250, 'loss': 0.12179769575595856, 'reward_mean': 1.0, 'log_pi_mean': -20.64305305480957, 'log_ref_mean': -20.577077865600586, 'kl_mean': -0.06597566604614258, 'valid_tokens_mean': 162.25, 'advantage_mean': -0.03663690760731697, 'advantage_std': 0.4886794984340668, 'num_tokens': 1298.0, 'policy_loss': 0.0017227301141247153, 'value_loss': 0.24014993011951447, 'token_reward_mean': 0.00636664405465126, 'return_mean': 1.0083062648773193, 'grad_norm': 4.711608409881592, 'learning_rate': 5e-06}
{'step': 255, 'loss': 0.296816885471344, 'reward_mean': 0.0, 'log_pi_mean': -98.0997314453125, 'log_ref_mean': -97.98332214355469, 'kl_mean': -0.11640787124633789, 'valid_tokens_mean': 1042.625, 'advantage_mean': -0.5927045941352844, 'advantage_std': 0.6150595545768738, 'num_tokens': 8341.0, 'policy_loss': -0.06798161566257477, 'value_loss': 0.7295969724655151, 'token_reward_mean': 5.582470475928858e-05, 'return_mean': 0.03449457511305809, 'grad_norm': 39.30707550048828, 'learning_rate': 5e-06}
