Loading checkpoint shards: 100%|████████████████████████████████████████| 4/4 [00:00<00:00, 10.65it/s]
{'trainable_params': 41882625, 'total_params': 7657499137, 'trainable_ratio': 0.0054694913118081626}
itds:   4%|█▏                              | 160/4262 [05:24<2:19:34,  2.04s/it, loss=40.83, reward=1]
{'step': 110, 'loss': -17.137659072875977, 'reward_mean': 0.625, 'log_pi_mean': -12.59095573425293, 'log_ref_mean': -6.519333839416504, 'kl_mean': -6.071621894836426, 'valid_tokens_mean': 1.125, 'advantage_mean': -1.777411699295044, 'advantage_std': 0.46453502774238586, 'num_tokens': 9.0, 'policy_loss': -18.825151443481445, 'value_loss': 3.3749852180480957, 'token_reward_mean': 3.254054307937622, 'return_mean': 3.6641359329223633, 'grad_norm': 913.01416015625, 'learning_rate': 5e-06}
{'step': 115, 'loss': 3.234198570251465, 'reward_mean': 1.0, 'log_pi_mean': -8.151700973510742, 'log_ref_mean': -1.2182430028915405, 'kl_mean': -6.933457851409912, 'valid_tokens_mean': 1.0, 'advantage_mean': 0.3875393867492676, 'advantage_std': 0.0, 'num_tokens': 8.0, 'policy_loss': 3.1591053009033203, 'value_loss': 0.15018677711486816, 'token_reward_mean': 4.466729164123535, 'return_mean': 4.466729164123535, 'grad_norm': 188.5522918701172, 'learning_rate': 5e-06}
{'step': 120, 'loss': 15.96030330657959, 'reward_mean': 1.0, 'log_pi_mean': -24.331260681152344, 'log_ref_mean': -10.846027374267578, 'kl_mean': -13.485233306884766, 'valid_tokens_mean': 2.0, 'advantage_mean': 1.2782344818115234, 'advantage_std': 0.07945442199707031, 'num_tokens': 16.0, 'policy_loss': 15.140205383300781, 'value_loss': 1.6401963233947754, 'token_reward_mean': 3.8713085651397705, 'return_mean': 7.2095537185668945, 'grad_norm': 1040.3690185546875, 'learning_rate': 5e-06}
{'step': 125, 'loss': 236.09115600585938, 'reward_mean': 0.0, 'log_pi_mean': -39.547096252441406, 'log_ref_mean': -10.752068519592285, 'kl_mean': -28.79502296447754, 'valid_tokens_mean': 6.142857551574707, 'advantage_mean': 11.461946487426758, 'advantage_std': 13.558667182922363, 'num_tokens': 43.0, 'policy_loss': 78.48430633544922, 'value_loss': 315.2137145996094, 'token_reward_mean': 2.343780994415283, 'return_mean': 18.30259132385254, 'grad_norm': 888.9736938476562, 'learning_rate': 5e-06}
{'step': 130, 'loss': -12.685629844665527, 'reward_mean': 1.0, 'log_pi_mean': -23.246212005615234, 'log_ref_mean': -9.412071228027344, 'kl_mean': -13.83414077758789, 'valid_tokens_mean': 4.0, 'advantage_mean': -2.4239068031311035, 'advantage_std': 1.2291274070739746, 'num_tokens': 24.0, 'policy_loss': -16.37866973876953, 'value_loss': 7.386079788208008, 'token_reward_mean': 1.9792675971984863, 'return_mean': 5.575514793395996, 'grad_norm': 431.7291259765625, 'learning_rate': 5e-06}
{'step': 135, 'loss': 0.0, 'reward_mean': 0.0, 'log_pi_mean': 0.0, 'log_ref_mean': 0.0, 'kl_mean': 0.0, 'valid_tokens_mean': 0.0, 'advantage_mean': 0.0, 'advantage_std': 0.0, 'num_tokens': 1.0, 'policy_loss': -0.0, 'value_loss': 0.0, 'token_reward_mean': 0.0, 'return_mean': 0.0, 'grad_norm': 173.0026092529297, 'learning_rate': 5e-06}
{'step': 140, 'loss': 14.707544326782227, 'reward_mean': 0.875, 'log_pi_mean': -30.49481201171875, 'log_ref_mean': -9.203374862670898, 'kl_mean': -21.29143524169922, 'valid_tokens_mean': 5.0, 'advantage_mean': 1.3933067321777344, 'advantage_std': 3.484729528427124, 'num_tokens': 40.0, 'policy_loss': 7.665223121643066, 'value_loss': 14.084643363952637, 'token_reward_mean': 2.3041439056396484, 'return_mean': 9.473936080932617, 'grad_norm': 662.7434692382812, 'learning_rate': 5e-06}
{'step': 145, 'loss': 2.9623241424560547, 'reward_mean': 0.625, 'log_pi_mean': -21.81995391845703, 'log_ref_mean': -9.418652534484863, 'kl_mean': -12.401300430297852, 'valid_tokens_mean': 2.0, 'advantage_mean': -0.15128087997436523, 'advantage_std': 1.2304883003234863, 'num_tokens': 16.0, 'policy_loss': 2.1938304901123047, 'value_loss': 1.536987543106079, 'token_reward_mean': 3.4128246307373047, 'return_mean': 5.291216850280762, 'grad_norm': 15243.953125, 'learning_rate': 5e-06}
{'step': 150, 'loss': 33.52220916748047, 'reward_mean': 0.0, 'log_pi_mean': -27.528615951538086, 'log_ref_mean': -8.458298683166504, 'kl_mean': -19.070316314697266, 'valid_tokens_mean': 3.125, 'advantage_mean': 2.074899911880493, 'advantage_std': 3.37799334526062, 'num_tokens': 25.0, 'policy_loss': 25.6641845703125, 'value_loss': 15.716049194335938, 'token_reward_mean': 3.051250457763672, 'return_mean': 6.858110427856445, 'grad_norm': 514.236083984375, 'learning_rate': 5e-06}
{'step': 155, 'loss': 0.0, 'reward_mean': 0.0, 'log_pi_mean': 0.0, 'log_ref_mean': 0.0, 'kl_mean': 0.0, 'valid_tokens_mean': 0.0, 'advantage_mean': 0.0, 'advantage_std': 0.0, 'num_tokens': 1.0, 'policy_loss': -0.0, 'value_loss': 0.0, 'token_reward_mean': 0.0, 'return_mean': 0.0, 'grad_norm': 253.60260009765625, 'learning_rate': 5e-06}
{'step': 160, 'loss': 16.331266403198242, 'reward_mean': 1.0, 'log_pi_mean': -31.18705940246582, 'log_ref_mean': -15.789528846740723, 'kl_mean': -15.397530555725098, 'valid_tokens_mean': 3.0, 'advantage_mean': 0.2693939208984375, 'advantage_std': 3.2395074367523193, 'num_tokens': 24.0, 'policy_loss': 11.047775268554688, 'value_loss': 10.56698226928711, 'token_reward_mean': 2.8995883464813232, 'return_mean': 5.735032558441162, 'grad_norm': 876.1732788085938, 'learning_rate': 5e-06}
