Loading checkpoint shards: 100%|████████████████████████████████████████| 4/4 [00:00<00:00, 10.69it/s]
{'trainable_params': 41882625, 'total_params': 7657499137, 'trainable_ratio': 0.0054694913118081626}
itds:   4%|█▏                              | 160/4262 [05:25<2:18:11,  2.02s/it, loss=299.5, reward=1]
{'step': 135, 'loss': 0.0, 'reward_mean': 0.0, 'log_pi_mean': 0.0, 'log_ref_mean': 0.0, 'kl_mean': 0.0, 'valid_tokens_mean': 0.0, 'advantage_mean': 0.0, 'advantage_std': 0.0, 'policy_loss': -0.0, 'value_loss': 0.0, 'grad_norm': 229069.8125, 'learning_rate': 5e-05}
{'step': 140, 'loss': -2021.6898193359375, 'reward_mean': 0.875, 'log_pi_mean': -138.53030395507812, 'log_ref_mean': -9.203374862670898, 'kl_mean': -129.32693481445312, 'valid_tokens_mean': 5.0, 'advantage_mean': -13.06698989868164, 'advantage_std': 4.452298641204834, 'policy_loss': -2116.974365234375, 'value_loss': 190.56918334960938, 'grad_norm': 128896.9765625, 'learning_rate': 5e-05}
{'step': 145, 'loss': 1216.5948486328125, 'reward_mean': 0.625, 'log_pi_mean': -130.66241455078125, 'log_ref_mean': -9.418652534484863, 'kl_mean': -121.24376678466797, 'valid_tokens_mean': 2.0, 'advantage_mean': 8.947433471679688, 'advantage_std': 0.9929375648498535, 'policy_loss': 1176.0736083984375, 'value_loss': 81.04249572753906, 'grad_norm': 42612104.0, 'learning_rate': 5e-05}
{'step': 150, 'loss': 2539.534912109375, 'reward_mean': 0.0, 'log_pi_mean': -181.93142700195312, 'log_ref_mean': -8.458298683166504, 'kl_mean': -173.47312927246094, 'valid_tokens_mean': 3.125, 'advantage_mean': 10.116081237792969, 'advantage_std': 7.846938133239746, 'policy_loss': 2457.580078125, 'value_loss': 163.90953063964844, 'grad_norm': 87509.8125, 'learning_rate': 5e-05}
{'step': 155, 'loss': 0.0, 'reward_mean': 0.0, 'log_pi_mean': 0.0, 'log_ref_mean': 0.0, 'kl_mean': 0.0, 'valid_tokens_mean': 0.0, 'advantage_mean': 0.0, 'advantage_std': 0.0, 'policy_loss': -0.0, 'value_loss': 0.0, 'grad_norm': 131726.78125, 'learning_rate': 5e-05}
{'step': 160, 'loss': 1861.6591796875, 'reward_mean': 1.0, 'log_pi_mean': -185.539794921875, 'log_ref_mean': -15.789528846740723, 'kl_mean': -169.75025939941406, 'valid_tokens_mean': 3.0, 'advantage_mean': 9.776189804077148, 'advantage_std': 0.0, 'policy_loss': 1813.8721923828125, 'value_loss': 95.57389068603516, 'grad_norm': 83087.875, 'learning_rate': 5e-05}
{'step': 165, 'loss': 2691.861572265625, 'reward_mean': 0.875, 'log_pi_mean': -334.94525146484375, 'log_ref_mean': -24.02828598022461, 'kl_mean': -310.9169921875, 'valid_tokens_mean': 7.75, 'advantage_mean': 7.887923240661621, 'advantage_std': 0.6287953853607178, 'policy_loss': 2660.55419921875, 'value_loss': 62.614715576171875, 'grad_norm': 195111.578125, 'learning_rate': 5e-05}
{'step': 170, 'loss': 841.4943237304688, 'reward_mean': 0.8333333730697632, 'log_pi_mean': -159.550537109375, 'log_ref_mean': -13.836280822753906, 'kl_mean': -145.71426391601562, 'valid_tokens_mean': 2.8333334922790527, 'advantage_mean': 4.807017803192139, 'advantage_std': 2.4314770698547363, 'policy_loss': 826.9845581054688, 'value_loss': 29.019500732421875, 'grad_norm': 416945.4375, 'learning_rate': 5e-05}
{'step': 175, 'loss': 10.330272674560547, 'reward_mean': 0.8571429252624512, 'log_pi_mean': -28.424942016601562, 'log_ref_mean': -7.473125457763672, 'kl_mean': -20.951812744140625, 'valid_tokens_mean': 1.1428571939468384, 'advantage_mean': -2.189253807067871, 'advantage_std': 2.007049560546875, 'policy_loss': 5.919732570648193, 'value_loss': 8.821080207824707, 'grad_norm': 32952.05078125, 'learning_rate': 5e-05}
{'step': 180, 'loss': 8081.74072265625, 'reward_mean': 0.0, 'log_pi_mean': -203.68711853027344, 'log_ref_mean': -9.767017364501953, 'kl_mean': -193.92010498046875, 'valid_tokens_mean': 5.0, 'advantage_mean': 4.131661891937256, 'advantage_std': 24.143667221069336, 'policy_loss': 7781.7470703125, 'value_loss': 599.9872436523438, 'grad_norm': 3346298.25, 'learning_rate': 5e-05}
{'step': 185, 'loss': 3068.3212890625, 'reward_mean': 0.5, 'log_pi_mean': -195.3932647705078, 'log_ref_mean': -7.733280181884766, 'kl_mean': -187.65997314453125, 'valid_tokens_mean': 2.0, 'advantage_mean': 14.65052604675293, 'advantage_std': 2.074977397918701, 'policy_loss': 2958.849609375, 'value_loss': 218.94346618652344, 'grad_norm': 14762005.0, 'learning_rate': 5e-05}
{'step': 190, 'loss': 65.4756088256836, 'reward_mean': 0.875, 'log_pi_mean': -33.35049057006836, 'log_ref_mean': -2.373185396194458, 'kl_mean': -30.977306365966797, 'valid_tokens_mean': 1.0, 'advantage_mean': 1.85866379737854, 'advantage_std': 0.6879338026046753, 'policy_loss': 63.51166534423828, 'value_loss': 3.9278838634490967, 'grad_norm': 63755.4921875, 'learning_rate': 5e-05}
{'step': 195, 'loss': 2960.956298828125, 'reward_mean': 0.0, 'log_pi_mean': -204.18902587890625, 'log_ref_mean': -12.62524700164795, 'kl_mean': -191.56378173828125, 'valid_tokens_mean': 4.1666669845581055, 'advantage_mean': 9.617447853088379, 'advantage_std': 7.414250373840332, 'policy_loss': 2887.22314453125, 'value_loss': 147.46641540527344, 'grad_norm': 106853.0625, 'learning_rate': 5e-05}
